x,y,w,h,area,cx,cy,size
286,26,7,7,33,289,29,small
920,49,7,7,33,923,52,small
648,56,11,17,139,652,64,large
475,66,7,7,33,478,69,small
325,109,10,17,125,329,116,medium
22,129,7,10,54,25,133,medium
939,133,11,19,155,944,141,large
1294,139,8,10,61,1297,143,medium
162,149,8,10,57,165,153,medium
43,156,8,11,69,46,160,medium
204,160,9,14,93,208,166,medium
230,187,14,24,254,235,197,large
136,190,9,10,61,140,194,medium
368,190,7,9,47,371,194,small
370,199,7,8,40,373,202,small
276,240,7,7,33,279,243,small
820,241,10,9,57,824,244,medium
537,250,9,13,88,540,256,medium
382,265,10,19,139,386,274,large
244,331,10,18,134,248,339,large
521,330,9,14,96,525,336,medium
212,353,7,10,54,215,357,medium
952,355,11,12,88,956,360,medium
27,358,14,27,303,33,371,large
574,363,7,7,33,577,366,small
664,394,10,14,97,668,400,medium
91,405,7,9,47,94,409,small
194,408,11,16,128,198,415,medium
240,414,11,16,142,245,421,large
299,415,7,8,40,302,418,small
301,423,11,18,125,305,431,medium
1265,430,8,10,57,1268,434,medium
44,437,8,11,63,47,442,medium
1244,437,7,9,47,1247,441,small
28,465,9,16,109,32,472,medium
279,464,10,20,158,283,473,large
251,470,14,28,289,257,483,large
217,482,11,20,175,221,491,large
32,492,8,10,58,35,496,medium
815,509,7,10,54,818,513,medium
59,514,7,8,40,62,517,small
521,528,8,11,64,524,533,medium
7,531,11,17,108,12,539,medium
1317,548,8,8,45,1320,551,small
728,552,10,22,162,732,562,large
370,605,14,10,95,376,610,medium
279,606,9,12,72,283,611,medium
351,618,12,17,129,356,626,medium
19,623,11,21,160,24,632,large
80,623,7,7,33,83,626,small
378,634,10,13,97,382,640,medium
43,645,9,12,76,46,650,medium
949,649,7,7,33,952,652,small
325,662,8,12,76,328,667,medium
256,665,7,9,47,259,669,small
428,673,7,8,40,431,676,small
35,682,15,27,222,42,695,large
627,705,15,29,330,634,719,large
594,715,12,25,229,599,727,large
729,731,10,15,103,733,738,medium
759,740,7,9,47,762,744,small
1461,746,7,7,33,1464,749,small
502,749,10,16,116,505,756,medium
641,755,7,8,40,644,758,small
508,767,8,8,45,511,770,small
752,779,11,22,162,756,789,large
326,780,8,9,48,329,784,small
177,792,13,24,177,182,803,large
250,793,8,10,57,253,797,medium
504,797,8,10,55,507,801,medium
154,801,8,11,64,157,806,medium
616,810,7,8,40,619,813,small
159,816,7,10,54,162,820,medium
358,826,8,11,68,361,831,medium
393,827,12,22,183,398,837,large
229,831,14,27,265,235,844,large
160,833,14,19,179,166,842,large
262,832,10,13,93,266,837,medium
318,839,8,18,111,321,847,medium
490,842,9,13,82,493,848,medium
296,851,8,9,53,299,854,medium
778,862,8,11,61,781,867,medium
120,870,8,12,69,123,875,medium
74,880,9,14,101,78,886,medium
243,881,7,8,40,246,884,small
1301,906,7,7,33,1304,909,small
220,921,11,18,144,225,929,large
343,928,7,17,103,346,936,medium
512,945,7,8,40,515,948,small
463,956,8,12,70,466,961,medium
828,1005,7,7,33,831,1008,small
797,1010,10,15,106,801,1017,medium
272,1016,9,10,69,275,1020,medium
245,1019,7,7,33,248,1022,small
517,1042,9,13,79,521,1047,medium
551,1049,17,26,303,559,1062,large
224,1059,8,10,55,227,1063,medium
372,1075,7,9,47,375,1079,small
450,1074,9,13,75,454,1080,medium
1321,1078,8,11,65,1324,1083,medium
1288,1082,7,9,47,1291,1086,small
658,1109,8,12,70,661,1114,medium
784,1113,9,22,129,787,1123,medium
466,1152,11,18,131,471,1160,medium
1182,1173,8,10,61,1185,1177,medium
800,1188,7,9,47,803,1192,small
1416,1208,7,7,33,1419,1211,small
